areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-02-23,8902,75
K02000001,United Kingdom,overview,2023-02-22,9275,84
K02000001,United Kingdom,overview,2023-02-21,8702,61
K02000001,United Kingdom,overview,2023-02-20,8721,79
K02000001,United Kingdom,overview,2023-02-19,8472,60
K02000001,United Kingdom,overview,2023-02-18,8302,78
K02000001,United Kingdom,overview,2023-02-17,8206,84
K02000001,United Kingdom,overview,2023-02-16,8104,75
K02000001,United Kingdom,overview,2023-02-15,8430,71
K02000001,United Kingdom,overview,2023-02-14,7859,77
K02000001,United Kingdom,overview,2023-02-13,7758,54
K02000001,United Kingdom,overview,2023-02-12,7522,70
K02000001,United Kingdom,overview,2023-02-11,7273,60
K02000001,United Kingdom,overview,2023-02-10,7628,76
K02000001,United Kingdom,overview,2023-02-09,7607,64
K02000001,United Kingdom,overview,2023-02-08,7601,72
K02000001,United Kingdom,overview,2023-02-07,7617,68
K02000001,United Kingdom,overview,2023-02-06,7671,56
K02000001,United Kingdom,overview,2023-02-05,7519,73
K02000001,United Kingdom,overview,2023-02-04,7409,66
K02000001,United Kingdom,overview,2023-02-03,7440,70
K02000001,United Kingdom,overview,2023-02-02,7355,76
K02000001,United Kingdom,overview,2023-02-01,7230,70
K02000001,United Kingdom,overview,2023-01-31,7177,63
K02000001,United Kingdom,overview,2023-01-30,7152,61
K02000001,United Kingdom,overview,2023-01-29,7019,77
K02000001,United Kingdom,overview,2023-01-28,6937,73
K02000001,United Kingdom,overview,2023-01-27,6904,79
K02000001,United Kingdom,overview,2023-01-26,6902,72
K02000001,United Kingdom,overview,2023-01-25,6909,67
K02000001,United Kingdom,overview,2023-01-24,6948,83
K02000001,United Kingdom,overview,2023-01-23,7142,77
K02000001,United Kingdom,overview,2023-01-22,7039,77
K02000001,United Kingdom,overview,2023-01-21,7067,74
K02000001,United Kingdom,overview,2023-01-20,7320,81
K02000001,United Kingdom,overview,2023-01-19,7517,84
K02000001,United Kingdom,overview,2023-01-18,7870,93
K02000001,United Kingdom,overview,2023-01-17,8294,93
K02000001,United Kingdom,overview,2023-01-16,8419,111
K02000001,United Kingdom,overview,2023-01-15,8510,114
K02000001,United Kingdom,overview,2023-01-14,8687,103
K02000001,United Kingdom,overview,2023-01-13,9040,106
K02000001,United Kingdom,overview,2023-01-12,9384,119
K02000001,United Kingdom,overview,2023-01-11,9740,97
K02000001,United Kingdom,overview,2023-01-10,10123,115
K02000001,United Kingdom,overview,2023-01-09,10513,133
K02000001,United Kingdom,overview,2023-01-08,10560,124
K02000001,United Kingdom,overview,2023-01-07,10710,121
K02000001,United Kingdom,overview,2023-01-06,10865,116
K02000001,United Kingdom,overview,2023-01-05,11357,146
K02000001,United Kingdom,overview,2023-01-04,11672,140
K02000001,United Kingdom,overview,2023-01-03,11675,139
K02000001,United Kingdom,overview,2023-01-02,11791,129
K02000001,United Kingdom,overview,2023-01-01,11753,129
K02000001,United Kingdom,overview,2022-12-31,11637,152
K02000001,United Kingdom,overview,2022-12-30,11775,157
K02000001,United Kingdom,overview,2022-12-29,11714,133
K02000001,United Kingdom,overview,2022-12-28,11580,134
K02000001,United Kingdom,overview,2022-12-27,11342,142
K02000001,United Kingdom,overview,2022-12-26,11191,129
K02000001,United Kingdom,overview,2022-12-25,10950,132
K02000001,United Kingdom,overview,2022-12-24,11022,146
K02000001,United Kingdom,overview,2022-12-23,11001,119
K02000001,United Kingdom,overview,2022-12-22,10868,114
K02000001,United Kingdom,overview,2022-12-21,10513,110
K02000001,United Kingdom,overview,2022-12-20,10163,112
K02000001,United Kingdom,overview,2022-12-19,9772,114
K02000001,United Kingdom,overview,2022-12-18,9333,100
K02000001,United Kingdom,overview,2022-12-17,8987,91
K02000001,United Kingdom,overview,2022-12-16,8728,88
K02000001,United Kingdom,overview,2022-12-15,8462,59
K02000001,United Kingdom,overview,2022-12-14,8167,97
K02000001,United Kingdom,overview,2022-12-13,7773,67
K02000001,United Kingdom,overview,2022-12-12,7514,70
K02000001,United Kingdom,overview,2022-12-11,7362,71
K02000001,United Kingdom,overview,2022-12-10,7194,70
K02000001,United Kingdom,overview,2022-12-09,7029,71
K02000001,United Kingdom,overview,2022-12-08,6842,71
K02000001,United Kingdom,overview,2022-12-07,6682,64
K02000001,United Kingdom,overview,2022-12-06,6516,75
K02000001,United Kingdom,overview,2022-12-05,6402,64
K02000001,United Kingdom,overview,2022-12-04,6241,48
K02000001,United Kingdom,overview,2022-12-03,6105,57
K02000001,United Kingdom,overview,2022-12-02,6116,51
K02000001,United Kingdom,overview,2022-12-01,6077,55
K02000001,United Kingdom,overview,2022-11-30,6035,46
K02000001,United Kingdom,overview,2022-11-29,5873,54
K02000001,United Kingdom,overview,2022-11-28,5811,61
K02000001,United Kingdom,overview,2022-11-27,5663,56
K02000001,United Kingdom,overview,2022-11-26,5593,48
K02000001,United Kingdom,overview,2022-11-25,5669,43
K02000001,United Kingdom,overview,2022-11-24,5749,52
