Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,"Population, total",SP.POP.TOTL,1402760000,1407745000,1411100000,1412360000,1412175000,1411878144
Colombia,COL,"Population, total",SP.POP.TOTL,49276961,50187406,50930662,51516562,51874024,52085168
Comoros,COM,"Population, total",SP.POP.TOTL,776313,790986,806166,821625,836774,852075
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,87087355,89906890,92853164,95894118,99010212,102262808
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5441062,5570733,5702174,5835806,5970424,6106869
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5040734,5084532,5123105,5153957,5180829,5212173
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25493988,26147551,26811790,27478249,28160542,28873034
Croatia,HRV,"Population, total",SP.POP.TOTL,4087843,4065253,4047680,3879000,3854000,3832549
Cuba,CUB,"Population, total",SP.POP.TOTL,11328244,11316697,11300698,11256372,11212191,11194449
Curacao,CUW,"Population, total",SP.POP.TOTL,159336,157441,154947,152369,149996,150768
Cyprus,CYP,"Population, total",SP.POP.TOTL,1218831,1228836,1237537,1244188,1251488,1260138
Czechia,CZE,"Population, total",SP.POP.TOTL,10629928,10671870,10697858,10505772,10526073,10534469
Denmark,DNK,"Population, total",SP.POP.TOTL,5793636,5814422,5831404,5856733,5903037,5928585
Djibouti,DJI,"Population, total",SP.POP.TOTL,1057198,1073994,1090156,1105557,1120849,1136455
Dominica,DMA,"Population, total",SP.POP.TOTL,70823,71428,71995,72412,72737,73040
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10765531,10881882,10999664,11117873,11228821,11332972
Ecuador,ECU,"Population, total",SP.POP.TOTL,17015672,17343740,17588595,17797737,18001000,18190484
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,103740765,105618671,107465134,109262178,110990103,112716598
El Salvador,SLV,"Population, total",SP.POP.TOTL,6276342,6280217,6292731,6314167,6336392,6364943
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1502091,1553031,1596049,1634466,1674908,1714671
Eritrea,ERI,"Population, total",SP.POP.TOTL,3445374,3498818,3555868,3620312,3684032,3748901
Estonia,EST,"Population, total",SP.POP.TOTL,1321977,1326898,1329522,1330932,1344768,1340776
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160428,1169613,1180655,1192271,1201670,1210822
Ethiopia,ETH,"Population, total",SP.POP.TOTL,111129438,114120594,117190911,120283026,123379924,126527060
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,50955,51681,52415,52889,53090,53270
Fiji,FJI,"Population, total",SP.POP.TOTL,918996,918465,920422,924610,929766,936375
Finland,FIN,"Population, total",SP.POP.TOTL,5515525,5521606,5529543,5541017,5556880,5559408
France,FRA,"Population, total",SP.POP.TOTL,67158348,67388001,67571107,67749632,67935660,68059744
French Polynesia,PYF,"Population, total",SP.POP.TOTL,297606,299717,301920,304032,306279,308872
Gabon,GAB,"Population, total",SP.POP.TOTL,2192012,2242785,2292573,2341179,2388992,2436566
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2444916,2508883,2573995,2639916,2705992,2773168
Georgia,GEO,"Population, total",SP.POP.TOTL,3726549,3720161,3722716,3708610,3712502,3698729
Germany,DEU,"Population, total",SP.POP.TOTL,82905782,83092962,83160871,83196078,84079811,83980256
Ghana,GHA,"Population, total",SP.POP.TOTL,30870641,31522290,32180401,32833031,33475870,34121985
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32648,32685,32709,32669,32649,32688
Greece,GRC,"Population, total",SP.POP.TOTL,10732882,10721582,10698599,10641221,10566531,10523449
Greenland,GRL,"Population, total",SP.POP.TOTL,56023,56225,56367,56653,56661,..
Grenada,GRD,"Population, total",SP.POP.TOTL,121838,122724,123663,124610,125438,126183
Guam,GUM,"Population, total",SP.POP.TOTL,168678,168624,169231,170534,171774,172952
Guatemala,GTM,"Population, total",SP.POP.TOTL,16346950,16604026,16858333,17109746,17357886,17601416
Guinea,GIN,"Population, total",SP.POP.TOTL,12554864,12877539,13205153,13531906,13859341,14190612
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1924955,1970457,2015828,2060721,2105566,2150842
Guyana,GUY,"Population, total",SP.POP.TOTL,785514,798753,797202,804567,808726,813834
Haiti,HTI,"Population, total",SP.POP.TOTL,11012421,11160438,11306801,11447569,11584996,11724763
Honduras,HND,"Population, total",SP.POP.TOTL,9792850,9958829,10121763,10278345,10432860,10593798
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7452600,7507900,7481000,7413100,7346100,7350409
Hungary,HUN,"Population, total",SP.POP.TOTL,9775564,9771141,9750149,9709891,9683505,9497333
Iceland,ISL,"Population, total",SP.POP.TOTL,352721,360563,366463,372520,381900,384303
India,IND,"Population, total",SP.POP.TOTL,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
Indonesia,IDN,"Population, total",SP.POP.TOTL,267066843,269582878,271857970,273753191,275501339,277534122
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,85617562,86564202,87290193,87923432,88550570,89172767
Iraq,IRQ,"Population, total",SP.POP.TOTL,40590700,41563520,42556984,43533592,44496122,45504560
Ireland,IRL,"Population, total",SP.POP.TOTL,4867316,4934340,4985382,5033165,5086988,5120455
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83775,83933,84046,84263,84519,84710
Israel,ISR,"Population, total",SP.POP.TOTL,8882800,9054000,9215100,9364700,9550600,9693280
Italy,ITA,"Population, total",SP.POP.TOTL,60421760,59729081,59438851,59109668,58856847,58662524
Jamaica,JAM,"Population, total",SP.POP.TOTL,2811835,2813773,2820436,2827695,2827377,2825544
Japan,JPN,"Population, total",SP.POP.TOTL,126811000,126633000,126261000,125681593,125124989,124389416
Jordan,JOR,"Population, total",SP.POP.TOTL,10459865,10698683,10928721,11148278,11285869,11337052
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276452,18513673,18755666,19000988,19621972,19841426
Kenya,KEN,"Population, total",SP.POP.TOTL,49953304,50951450,51985780,53005614,54027487,55100586
Kiribati,KIR,"Population, total",SP.POP.TOTL,122261,124241,126463,128874,131232,133515
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25638149,25755441,25867467,25971909,26069416,26160821
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51585058,51764822,51836239,51744876,51628117,51559476
Kosovo,XKX,"Population, total",SP.POP.TOTL,1797085,1788878,1790133,1786038,1761985,1766104
